,sales,MoM,YoY
,Manhattan,,
,All Downtown,,
,All,,
1995-01,390918.8335257922,,
1995-02,385857.0597330723,-0.01294840094314853,
1995-03,340621.705542529,-0.11723344966614357,
1995-04,341249.0128571951,0.0018416539652601482,
1995-05,333606.5126525663,-0.02239566977978924,
1995-06,325854.1586435376,-0.02323801758960975,
1995-07,333770.0728326826,0.024292813147136938,
1995-08,335022.7439564776,0.0037530959955867083,
1995-09,345355.050297132,0.030840611651120176,
1995-10,359177.3242652945,0.04002337292091207,
1995-11,348932.0519561254,-0.028524273713898873,
1995-12,343520.8595019857,-0.015507868720584295,
1996-01,362916.3083436914,0.05646076011169732,-0.07163258144801865
1996-02,356787.1951688151,-0.01688850303489775,-0.0753384286511879
1996-03,361507.1668578745,0.013229094970255595,0.06131570882155013
1996-04,371745.6763206497,0.028321733015048256,0.08936777049730749
1996-05,369502.0674680779,-0.0060353327435517246,0.10759848340519329
1996-06,367513.8908427511,-0.005380691477453126,0.12784778433589494
1996-07,361171.9749064292,-0.017256261856604005,0.08209813971992341
1996-08,363462.5485179234,0.0063420579962985,0.08488917565889298
1996-09,369107.9132059992,0.015532177142034698,0.06877809630532705
1996-10,357526.5185267943,-0.031376717390345754,-0.004596074492945745
1996-11,352358.2128613966,-0.014455726771524291,0.0098189916519964
1996-12,345367.3730360499,-0.019840150080726593,0.00537525883214518
1997-01,374018.65798819,0.08295886406487352,0.030592038410090838
1997-02,371762.8565186662,-0.006031253846151774,0.04197365138837261
1997-03,357059.2411526896,-0.03955106086623883,-0.01230383824432879
1997-04,379887.2671638176,0.06393344123354039,0.02190096983440193
1997-05,385930.8083194302,0.0159087752551772,0.044461837423336315
1997-06,406970.652116893,0.05451713971497285,0.10736127873605827
1997-07,412114.4224770066,0.012639167795903461,0.14104762027500994
1997-08,410272.5589105784,-0.004469301402648673,0.12878908867923333
1997-09,421865.0070274025,0.028255480082816753,0.14293135403997592
1997-10,451172.534458125,0.06947134022144397,0.26192746853353355
1997-11,425164.4454651241,-0.057645550220023045,0.2066256154851327
1997-12,408675.9402704557,-0.038781477074429804,0.18330789813141268
1998-01,440593.6063190579,0.07810018379716577,0.17799900328226403
1998-02,452064.1410161517,0.02603427406249592,0.21600136508918166
1998-03,457076.9213860686,0.01108864852374536,0.28011508653436135
1998-04,454180.146001366,-0.0063376102558804215,0.19556559342514457
1998-05,452716.8478352642,-0.0032218452941741305,0.17305184783422645
1998-06,460210.8242098016,0.01655334103506645,0.13082066683672466
1998-07,469226.4106059474,0.019590122443612357,0.13858284256510656
1998-08,472525.9143657023,0.007031794641512157,0.15173658121427636
1998-09,473784.2416523622,0.0026629804808675495,0.12307073058938789
1998-10,492526.7920069956,0.0395592523070567,0.09165951912063663
1998-11,493207.289573373,0.0013816457854087805,0.16003888573940128
1998-12,495056.6828305368,0.0037497281493215073,0.21136733056248813
1999-01,483258.4979437994,-0.023831987923645603,0.0968350221447507
1999-02,489269.8024076534,0.01243910761927891,0.0823017311390164
1999-03,494390.7931995864,0.010466598933212445,0.08163586929824596
1999-04,508583.8412293929,0.028708156027648313,0.11978439768228721
1999-05,516621.5646860325,0.015804126684815678,0.14115824749252992
1999-06,550451.0668124448,0.06548217193947692,0.19608457223401676
1999-07,556441.0654284973,0.01088198202746593,0.18586902367648706
1999-08,561364.1720008488,0.008847489659233654,0.18800716518246197
1999-09,565543.2446727119,0.00744449482226095,0.19367255166683583
1999-10,585311.5927738163,0.034954618037290164,0.1883852863896649
1999-11,551318.3968057517,-0.05807709327431809,0.11782288798416829
1999-12,561323.7601078571,0.018148067178738847,0.13385755525696874
2000-01,592064.1835245058,0.054764158586021905,0.2251500719462982
2000-02,603653.2890159996,0.01957406952486962,0.2337840717850872
2000-03,593937.9485062752,-0.016094239336558847,0.20135317379687012
2000-04,586122.9055738711,-0.013158012469246194,0.152460731267128
2000-05,615111.1160481498,0.04945756290806691,0.19064158001606568
2000-06,665818.2190649823,0.0824356798209176,0.20958657219179577
2000-07,642581.0819268221,-0.034900122094574715,0.15480528280563033
2000-08,637506.0429376074,-0.007897896673205618,0.13563721151880603
2000-09,643731.4231058041,0.009765209659049479,0.1382532267330694
2000-10,672791.4526828288,0.04514309622609236,0.1494586148455419
2000-11,675657.1882151831,0.004259470777945973,0.2255299154351278
2000-12,687659.3357105921,0.017763664332668405,0.22506721535974172
2001-01,733245.1789747928,0.06629131736733362,0.23845555833127596
2001-02,717023.0803468195,-0.022123703084764523,0.18780613539871727
2001-03,729621.607455662,0.017570601915281037,0.22844753276099716
2001-04,740654.5832836396,0.01512150368798948,0.2636506375031822
2001-05,776535.9340411237,0.048445458338226555,0.2624319635614225
2001-06,769173.1335297457,-0.009481596650732782,0.15522992838782068
2001-07,752586.7915069634,-0.021563860332286078,0.17119350798545452
2001-08,758022.6713027966,0.007222927451262295,0.1890438995838415
2001-09,777721.7507214173,0.02598745415458925,0.20814632128590427
2001-10,757289.8829841365,-0.026271436690986305,0.12559379279323646
2001-11,736966.4761501782,-0.026837024091584172,0.09074022892726097
2001-12,721105.3438958575,-0.021522189634971434,0.048637466908965754
2002-01,712885.5137249904,-0.011398931155409908,-0.02776651771276406
2002-02,726536.6192207282,0.019149085277953892,0.01326810689177127
2002-03,733562.3510102709,0.009670168858217254,0.005401078469086329
2002-04,757031.9651244405,0.03199402761312253,0.022112037392913786
2002-05,767498.275023703,0.013825453060680282,-0.011638429879720302
2002-06,784058.1571131741,0.021576442095534,0.019351980632917876
2002-07,798828.7324331956,0.018838622092020918,0.06144399748717122
2002-08,819815.4129153342,0.026271814758357825,0.08151832913695811
2002-09,864986.1307708015,0.05509864433365097,0.1122051427370232
2002-10,888214.7953793118,0.026854378101774712,0.17288612371164858
2002-11,895807.0369692262,0.008547754022350196,0.21553295293540553
2002-12,874734.3730132252,-0.02352366423386887,0.2130465824693082
2003-01,873306.3177197779,-0.0016325587944234776,0.22503024806402916
2003-02,823062.7913163505,-0.05753253512995815,0.13285795862451466
2003-03,868943.8874663942,0.05574434494440528,0.18455355058731437
2003-04,883558.5432840603,0.01681887176889929,0.16713505372104254
2003-05,889311.3790196131,0.006510984223150995,0.15871449872919663
2003-06,886935.6735725125,-0.002671398908354994,0.13121158873995187
2003-07,866664.532342587,-0.022855255272656638,0.08491907858993342
2003-08,855401.3787611573,-0.012995978445068612,0.04340729057444315
2003-09,880396.4799159605,0.029220318993409267,0.017815718191257712
2003-10,883316.2893839536,0.003316471083882444,-0.005515001574890821
2003-11,900070.2368439343,0.01896709894443971,0.00475906048821817
